iter	Passed	Remaining
0	1	153
1	2	140
2	3	125
3	4	111
4	5	103
5	6	96
6	7	93
7	7	90
8	8	87
9	9	84
10	10	82
11	10	80
12	11	78
13	12	77
14	13	76
15	14	76
16	15	76
17	16	75
18	17	74
19	18	72
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	22	64
26	23	63
27	24	62
28	25	61
29	26	60
30	26	59
31	28	59
32	29	59
33	30	58
34	31	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	36	51
41	36	50
42	37	49
43	38	48
44	38	47
45	39	46
46	40	45
47	41	44
48	42	44
49	43	43
50	44	42
51	45	41
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	35
60	53	34
61	55	33
62	57	33
63	58	32
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	67	26
72	67	25
73	69	24
74	71	23
75	72	22
76	73	22
77	74	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	81	14
85	83	13
86	84	12
87	86	11
88	87	10
89	88	9
90	89	8
91	91	7
92	92	6
93	93	5
94	93	4
95	94	3
96	96	2
97	98	2
98	99	1
99	100	0
